SIGLA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AC,118936,124039,129247,134483,139739,145075,150539,156171,161955,167913,173963,179925,185778,191491
AL,615767,631900,647881,663541,678765,693898,709277,725164,741658,758748,776242,793645,810607,826340
AM,574664,598033,621932,646338,671143,696527,722756,749874,777884,806809,836647,867398,898809,928553
AP,102310,107901,113550,119139,124639,130168,135763,141419,147093,152771,158449,164014,169508,174875
BA,2972397,3044813,3118052,3191749,3265097,3339391,3415946,3496296,3581339,3671370,3765277,3861000,3956517,4047878
CE,1749592,1794549,1839495,1884085,1927751,1971344,2015846,2062000,2110520,2161338,2213275,2264988,2315787,2363772
DF,563713,583469,603266,623128,643038,663342,684274,706097,728885,752645,777044,801332,824815,846595
ES,863793,886521,908213,928569,947655,966152,984449,1003076,1022286,1042163,1062618,1083251,1103896,1123718
GO,1373570,1421358,1469280,1516385,1562711,1609506,1656628,1704193,1752215,1800772,1849583,1898086,1946107,1992304
MA,1161981,1192123,1222224,1251825,1280679,1309832,1340389,1373289,1409105,1447930,1489259,1532250,1576453,1620517
MG,4880165,4978556,5071980,5159284,5240548,5319244,5396985,5475679,5556389,5639810,5725214,5811016,5895632,5975399
MS,562707,578407,593529,607894,621543,634810,647954,661299,675010,689199,703748,718386,732852,746605
MT,659417,682304,704997,727371,749428,771609,794173,817426,841598,866787,892846,919580,946596,972660
PA,1335878,1382762,1430311,1477871,1525302,1573611,1623426,1675030,1728406,1783544,1840166,1897636,1955992,2013973
PB,803743,822595,841578,860801,880156,899906,920356,941732,964170,987726,1011972,1036204,1059895,1082079
PE,1893680,1939520,1986057,2032964,2079805,2127240,2175601,2225004,2275381,2326721,2378426,2429493,2479316,2525819
PI,648788,663067,677455,692081,706828,721846,737442,753904,771438,790059,809413,829050,848598,867365
PR,2632507,2694871,2753794,2808282,2858364,2905756,2951442,2996987,3043229,3090722,3138879,3186559,3232542,3274334
RJ,4316520,4379923,4438939,4493667,4544128,4592137,4639026,4686048,4733643,4782447,4831971,4880499,4926649,4965652
RN,678512,697424,716409,735411,754136,772737,791359,810183,829425,849100,868820,887998,906401,923556
RO,322603,334255,345759,356812,367414,377957,388449,398948,409465,419962,430330,440291,449920,459037
RR,75895,79238,82573,86008,89641,93448,97467,101733,106287,111128,116577,123697,132258,139411
RS,2948384,2980402,3007347,3029420,3046664,3060410,3072149,3083698,3096331,3110625,3126112,3141740,3156772,3169659
SC,1590545,1632892,1673663,1713077,1751298,1789199,1827463,1867062,1908738,1952732,1998742,2046677,2095892,2144650
SE,419398,433519,447577,461422,474950,488295,501732,515462,529613,544208,559076,573868,588360,602049
SP,10506732,10735397,10955314,11164534,11362761,11554562,11743134,11933132,12127183,12326964,12530776,12733834,12933176,13120506
TO,265361,274204,283106,291938,300777,309843,319187,328871,338902,349250,359814,370392,380870,391006
